Year,Ort,Value
1995,Hessen,347
1996,Hessen,383
1997,Hessen,368
1998,Hessen,355
1999,Hessen,328
2000,Hessen,357
2001,Hessen,394
2002,Hessen,370
2003,Hessen,364
2004,Hessen,354
2005,Hessen,348
2006,Hessen,350
2007,Hessen,298
2008,Hessen,347
2009,Hessen,342
2010,Hessen,350
2011,Hessen,311
2012,Hessen,310
2013,Hessen,327
2014,Hessen,296
2015,Hessen,286
2016,Hessen,303
2017,Hessen,298
2018,Hessen,279
1995,Deutschland,327
1996,Deutschland,355
1997,Deutschland,350
1998,Deutschland,342
1999,Deutschland,321
2000,Deutschland,317
2001,Deutschland,346
2002,Deutschland,330
2003,Deutschland,337
2004,Deutschland,323
2005,Deutschland,319
2006,Deutschland,323
2007,Deutschland,279
2008,Deutschland,317
2009,Deutschland,308
2010,Deutschland,333
2011,Deutschland,291
2012,Deutschland,302
2013,Deutschland,317
2014,Deutschland,270
2015,Deutschland,282
2016,Deutschland,289
2017,Deutschland,283
2018,Deutschland,280
